system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,NDVI,class,.geo
1_1_1_0_0,0.0212,0.0191,0.0553,0.0669,0.0464,0.0504,0.0341,0.0363,0.0274,-0.25745258,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.57485019646916,32.986451643218274]}"
1_1_1_1_0,0.0202,0.01655,0.0505,0.0611,0.0415,0.0446,0.0315,0.0323,0.02895,-0.1781405,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.5646094022302,32.98681096933192]}"
1_1_1_2_0,0.0173,0.01245,0.0593,0.05665,0.03835,0.0367,0.03355,0.03205,0.03155,-0.09728182,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.58742203616498,32.76052534926221]}"
1_1_1_3_0,0.0151,0.0112,0.06585,0.0663,0.04465,0.0414,0.037,0.03465,0.0342,-0.1325301,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.55993358847093,32.707434915970744]}"
1_1_1_4_0,0.0164,0.0132,0.0636,0.0651,0.043,0.04,0.035,0.0315,0.0314,-0.15591401,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.58194231293186,32.695846648805606]}"
1_1_1_5_0,0.01925,0.01395,0.06175,0.06445,0.0394,0.0405,0.0377,0.0384,0.0338,-0.076502755,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.38970284213028,32.97630068050772]}"
1_1_1_6_0,0.0182,0.01385,0.061,0.0649,0.0395,0.0384,0.03515,0.03525,0.03305,-0.08890422,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.41305903951739,32.970461631160944]}"
1_1_1_7_0,0.01665,0.01185,0.0572,0.0639,0.04095,0.0383,0.03295,0.03235,0.03105,-0.1375,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.47486313106481,32.95204616783649]}"
1_1_1_8_0,0.0171,0.013,0.06195,0.06535,0.041,0.04005,0.034,0.0337,0.03395,-0.09406271,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.48546325141741,32.93695447106329]}"
1_1_1_9_0,0.0207,0.0163,0.0518,0.0536,0.0373,0.0366,0.0326,0.0333,0.0314,-0.08588068,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.56290260319038,33.333111511359995]}"
1_1_1_10_0,0.01705,0.01185,0.0502,0.0517,0.03395,0.036,0.03445,0.0355,0.03045,-0.05434785,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.61096247089077,33.30508407449547]}"
1_1_1_11_0,0.0203,0.0145,0.0651,0.081,0.0553,0.0527,0.0409,0.04,0.0388,-0.17534538,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.62740164059015,33.3526947845538]}"
1_1_1_12_0,0.01575,0.01245,0.0567,0.05225,0.0344,0.0333,0.0315,0.0316,0.03195,-0.0369254,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.55885561012998,32.761603327603154]}"
1_1_1_13_0,0.0174,0.01435,0.06095,0.05715,0.0392,0.03705,0.034,0.032,0.03235,-0.095737256,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.569545562011,32.76744237694993]}"
1_1_1_14_0,0.01695,0.013,0.0607,0.05795,0.0377,0.03745,0.0333,0.0313,0.0306,-0.10395316,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.55768780026062,32.784690030405024]}"
1_1_1_15_0,0.0181,0.0134,0.0626,0.0571,0.03515,0.03495,0.03295,0.0313,0.0301,-0.077394634,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.58068467153409,32.78477986193344]}"
1_1_1_16_0,0.0205,0.0167,0.06245,0.0591,0.04045,0.0385,0.0367,0.0357,0.03425,-0.08299867,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.568018426028,32.80606993416707]}"
1_1_1_17_0,0.0207,0.01645,0.0611,0.0626,0.0409,0.04025,0.0363,0.0375,0.0351,-0.07631575,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.5913746234151,32.80490212429771]}"
1_1_1_18_0,0.0177,0.01345,0.05735,0.05785,0.03865,0.0387,0.0348,0.034,0.03245,-0.08720108,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.60233406988137,32.79915290647935]}"
1_1_1_19_0,0.01765,0.0138,0.0623,0.06185,0.0425,0.0399,0.03595,0.0348,0.03085,-0.15882753,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.65210073662159,32.77391024699559]}"
1_1_1_20_0,0.02065,0.01655,0.06925,0.0708,0.04815,0.0478,0.04155,0.0411,0.03805,-0.11716937,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.6401531433428,32.770227154330705]}"
1_1_1_21_0,0.0208,0.0137,0.0408,0.0459,0.0305,0.0308,0.0262,0.0259,0.0241,-0.117216125,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.63467799439152,33.31074346078542]}"
1_1_1_22_0,0.036,0.0291,0.0625,0.0765,0.0536,0.0508,0.0375,0.0387,0.0389,-0.15891892,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.5014578377566,33.36203726350864]}"
1_1_1_23_0,0.3031,0.243,0.1074,0.1456,0.1738,0.1676,0.2482,0.2713,0.3024,0.27005458,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.48052709163662,33.39563425513471]}"
1_1_1_24_0,0.0202,0.0136,0.0472,0.0499,0.0333,0.0332,0.0305,0.0291,0.0274,-0.09719936,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.61823882469214,33.29439412261444]}"
1_1_1_25_0,0.1466,0.11615,0.0735,0.106,0.10115,0.15035,0.15005,0.1554,0.1334,0.13749732,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.36284778941696,33.45429424318772]}"
1_1_1_26_0,0.1101,0.08685,0.0846,0.1115,0.1121,0.1423,0.1306,0.1374,0.1256,0.05679427,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.37281908907069,33.45357559096042]}"
1_1_1_27_0,0.25535,0.2243,0.0976,0.1288,0.1342,0.1987,0.2145,0.2278,0.2138,0.22873561,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.39707360174191,33.42815326841984]}"
